major_uid,major_no,major_code,major_name,category_id,category_name,status,source_relative_path
humanities_012,12,012,아랍어과,humanities,인문계열,complete_two_page_visible,humanities/majors/12_#Uc544#Ub78d#Uc5b4#Uacfc.json
humanities_013,13,013,언어학과,humanities,인문계열,complete_two_page_visible,humanities/majors/13_#Uc5b8#Uc5b4#Ud559#Uacfc.json
humanities_014,14,014,영어영문학과,humanities,인문계열,complete_two_page_visible,humanities/majors/14_#Uc601#Uc5b4#Uc601#Ubb38#Ud559#Uacfc.json
humanities_015,15,015,일어일문학과,humanities,인문계열,complete_two_page_visible,humanities/majors/15_#Uc77c#Uc5b4#Uc77c#Ubb38#Ud559#Uacfc.json
humanities_016,16,016,중어중문학과,humanities,인문계열,complete_two_page_visible,humanities/majors/16_#Uc911#Uc5b4#Uc911#Ubb38#Ud559#Uacfc.json
humanities_017,17,017,철학과,humanities,인문계열,complete_two_page_visible,humanities/majors/17_#Ucca0#Ud559#Uacfc.json
humanities_018,18,018,한국어학과,humanities,인문계열,complete_two_page_visible,humanities/majors/18_#Ud55c#Uad6d#Uc5b4#Ud559#Uacfc.json
humanities_019,19,019,한문학과,humanities,인문계열,complete_two_page_visible,humanities/majors/19_#Ud55c#Ubb38#Ud559#Uacfc.json
medical_121,121,121,간호학과,medical,의약계열,complete_two_page_visible,medical/majors/121_#Uac04#Ud638#Ud559#Uacfc.json
medical_122,122,122,안경광학과,medical,의약계열,complete_two_page_visible,medical/majors/122_#Uc548#Uacbd#Uad11#Ud559#Uacfc.json
medical_123,123,123,물리치료학과,medical,의약계열,complete_two_page_visible,medical/majors/123_#Ubb3c#Ub9ac#Uce58#Ub8cc#Ud559#Uacfc.json
medical_124,124,124,방사선학과,medical,의약계열,complete_two_page_visible,medical/majors/124_#Ubc29#Uc0ac#Uc120#Ud559#Uacfc.json
medical_125,125,125,보건관리학과,medical,의약계열,complete_two_page_visible,medical/majors/125_#Ubcf4#Uac74#Uad00#Ub9ac#Ud559#Uacfc.json
medical_126,126,126,수의예과,medical,의약계열,complete_two_page_visible,medical/majors/126_#Uc218#Uc758#Uc608#Uacfc.json
medical_127,127,127,약학과,medical,의약계열,complete_two_page_visible,medical/majors/127_#Uc57d#Ud559#Uacfc.json
medical_128,128,128,언어치료학과,medical,의약계열,complete_two_page_visible,medical/majors/128_#Uc5b8#Uc5b4#Uce58#Ub8cc#Ud559#Uacfc.json
medical_129,129,129,응급구조학과,medical,의약계열,complete_two_page_visible,medical/majors/129_#Uc751#Uae09#Uad6c#Uc870#Ud559#Uacfc.json
medical_130,130,130,한약학과,medical,의약계열,complete_two_page_visible,medical/majors/130_#Ud55c#Uc57d#Ud559#Uacfc.json
medical_131,131,131,의예과,medical,의약계열,complete_two_page_visible,medical/majors/131_#Uc758#Uc608#Uacfc.json
medical_132,132,132,임상병리학과,medical,의약계열,complete_two_page_visible,medical/majors/132_#Uc784#Uc0c1#Ubcd1#Ub9ac#Ud559#Uacfc.json
medical_133,133,133,작업치료학과,medical,의약계열,complete_two_page_visible,medical/majors/133_#Uc791#Uc5c5#Uce58#Ub8cc#Ud559#Uacfc.json
medical_134,134,134,재활상담학과,medical,의약계열,complete_two_page_visible,medical/majors/134_#Uc7ac#Ud65c#Uc0c1#Ub2f4#Ud559#Uacfc.json
medical_135,135,135,치기공학과,medical,의약계열,complete_two_page_visible,medical/majors/135_#Uce58#Uae30#Uacf5#Ud559#Uacfc.json
medical_136,136,136,치위생학과,medical,의약계열,complete_two_page_visible,medical/majors/136_#Uce58#Uc704#Uc0dd#Ud559#Uacfc.json
medical_137,137,137,치의예과,medical,의약계열,complete_two_page_visible,medical/majors/137_#Uce58#Uc758#Uc608#Uacfc.json
medical_138,138,138,한의예과,medical,의약계열,complete_two_page_visible,medical/majors/138_#Ud55c#Uc758#Uc608#Uacfc.json
natural_056,56,056,대기과학과,natural,자연계열,complete_two_page_visible,natural/majors/56_#Ub300#Uae30#Uacfc#Ud559#Uacfc.json
natural_057,57,057,동물자원학과,natural,자연계열,complete_two_page_visible,natural/majors/57_#Ub3d9#Ubb3c#Uc790#Uc6d0#Ud559#Uacfc.json
natural_058,58,058,물리학과,natural,자연계열,complete_two_page_visible,natural/majors/58_#Ubb3c#Ub9ac#Ud559#Uacfc.json
natural_059,59,059,미생물학과,natural,자연계열,complete_two_page_visible,natural/majors/59_#Ubbf8#Uc0dd#Ubb3c#Ud559#Uacfc.json
natural_060,60,060,생명공학과,natural,자연계열,complete_two_page_visible,natural/majors/60_#Uc0dd#Uba85#Uacf5#Ud559#Uacfc.json
natural_061,61,061,생명과학과,natural,자연계열,complete_two_page_visible,natural/majors/61_#Uc0dd#Uba85#Uacfc#Ud559#Uacfc.json
natural_062,62,062,생물학과,natural,자연계열,complete_two_page_visible,natural/majors/62_#Uc0dd#Ubb3c#Ud559#Uacfc.json
natural_063,63,063,수산생명의학과,natural,자연계열,complete_two_page_visible,natural/majors/63_#Uc218#Uc0b0#Uc0dd#Uba85#Uc758#Ud559#Uacfc.json
natural_064,64,064,수학과,natural,자연계열,complete_two_page_visible,natural/majors/64_#Uc218#Ud559#Uacfc.json
natural_065,65,065,식물자원학과,natural,자연계열,complete_two_page_visible,natural/majors/65_#Uc2dd#Ubb3c#Uc790#Uc6d0#Ud559#Uacfc.json
natural_066,66,066,식품공학과,natural,자연계열,complete_two_page_visible,natural/majors/66_#Uc2dd#Ud488#Uacf5#Ud559#Uacfc.json
natural_067,67,067,식품영양학과,natural,자연계열,complete_two_page_visible,natural/majors/67_#Uc2dd#Ud488#Uc601#Uc591#Ud559#Uacfc.json
natural_068,68,068,원예학과,natural,자연계열,complete_two_page_visible,natural/majors/68_#Uc6d0#Uc608#Ud559#Uacfc.json
natural_069,69,069,응용수학과,natural,자연계열,complete_two_page_visible,natural/majors/69_#Uc751#Uc6a9#Uc218#Ud559#Uacfc.json
natural_070,70,070,의류학과,natural,자연계열,complete_two_page_visible,natural/majors/70_#Uc758#Ub958#Ud559#Uacfc.json
natural_071,71,071,조경학과,natural,자연계열,complete_two_page_visible,natural/majors/71_#Uc870#Uacbd#Ud559#Uacfc.json
natural_072,72,072,주거환경학과,natural,자연계열,complete_two_page_visible,natural/majors/72_#Uc8fc#Uac70#Ud658#Uacbd#Ud559#Uacfc.json
natural_073,73,073,지구환경과학과,natural,자연계열,complete_two_page_visible,natural/majors/73_#Uc9c0#Uad6c#Ud658#Uacbd#Uacfc#Ud559#Uacfc.json
natural_074,74,074,천문우주학과,natural,자연계열,complete_two_page_visible,natural/majors/74_#Ucc9c#Ubb38#Uc6b0#Uc8fc#Ud559#Uacfc.json
natural_075,75,075,통계학과,natural,자연계열,complete_two_page_visible,natural/majors/75_#Ud1b5#Uacc4#Ud559#Uacfc.json
natural_076,76,076,해양학과,natural,자연계열,complete_two_page_visible,natural/majors/76_#Ud574#Uc591#Ud559#Uacfc.json
natural_077,77,077,화학과,natural,자연계열,complete_two_page_visible,natural/majors/77_#Ud654#Ud559#Uacfc.json
social_020,20,020,경영정보학과,social,사회계열,complete_two_page_visible,social/majors/20_#Uacbd#Uc601#Uc815#Ubcf4#Ud559#Uacfc.json
social_021,21,021,경영학과,social,사회계열,complete_two_page_visible,social/majors/21_#Uacbd#Uc601#Ud559#Uacfc.json
social_022,22,022,경제학과,social,사회계열,complete_two_page_visible,social/majors/22_#Uacbd#Uc81c#Ud559#Uacfc.json
social_023,23,023,경찰행정학과,social,사회계열,complete_two_page_visible,social/majors/23_#Uacbd#Ucc30#Ud589#Uc815#Ud559#Uacfc.json
social_024,24,024,공공인재학부,social,사회계열,complete_two_page_visible,social/majors/24_#Uacf5#Uacf5#Uc778#Uc7ac#Ud559#Ubd80.json
social_025,25,025,관광경영학과,social,사회계열,complete_two_page_visible,social/majors/25_#Uad00#Uad11#Uacbd#Uc601#Ud559#Uacfc.json
social_026,26,026,광고홍보학과,social,사회계열,complete_two_page_visible,social/majors/26_#Uad11#Uace0#Ud64d#Ubcf4#Ud559#Uacfc.json
social_027,27,027,국제통상학과,social,사회계열,complete_two_page_visible,social/majors/27_#Uad6d#Uc81c#Ud1b5#Uc0c1#Ud559#Uacfc.json
social_028,28,028,국제학부,social,사회계열,partial_one_page_visible,social/majors/28_#Uad6d#Uc81c#Ud559#Ubd80.json
social_029,29,029,군사학과,social,사회계열,complete_two_page_visible,social/majors/29_#Uad70#Uc0ac#Ud559#Uacfc.json
social_030,30,030,글로벌경영학과,social,사회계열,complete_two_page_visible,social/majors/30_#Uae00#Ub85c#Ubc8c#Uacbd#Uc601#Ud559#Uacfc.json
social_031,31,031,농업경제학과,social,사회계열,complete_two_page_visible,social/majors/31_#Ub18d#Uc5c5#Uacbd#Uc81c#Ud559#Uacfc.json
social_032,32,032,도시행정학과,social,사회계열,complete_two_page_visible,social/majors/32_#Ub3c4#Uc2dc#Ud589#Uc815#Ud559#Uacfc.json
social_033,33,033,무역학과,social,사회계열,complete_two_page_visible,social/majors/33_#Ubb34#Uc5ed#Ud559#Uacfc.json
social_034,34,034,문헌정보학과,social,사회계열,complete_two_page_visible,social/majors/34_#Ubb38#Ud5cc#Uc815#Ubcf4#Ud559#Uacfc.json
social_035,35,035,문화콘텐츠학과,social,사회계열,complete_two_page_visible,social/majors/35_#Ubb38#Ud654#Ucf58#Ud150#Uce20#Ud559#Uacfc.json
